,x,y
6x24,1412.15,6686.23
6x25,1416.2,6984.46
6x26,1407.81,7278.32
6x27,1414.75,7566.65
6x28,1417.36,7858.76
6x29,1408.1,8156.12
6x30,1413.6,8441.23
7x11,1720.91,2944.45
7x12,1709.63,3214.99
7x13,1703.84,3527.21
7x14,1714.55,3805.62
7x15,1718.31,4112.9
7x16,1711.36,4383.44
7x17,1714.55,4694.79
7x18,1721.49,4968.24
7x19,1723.81,5296.21
7x20,1714.55,5553.34
7x21,1711.94,5838.46
7x22,1724.1,6145.15
7x23,1711.65,6431.72
7x24,1715.41,6694.1
7x25,1713.39,6977.76
7x26,1713.97,7273.08
7x27,1704.71,7569.27
7x28,1713.97,7856.43
7x29,1691.98,8165.16
7x30,1711.07,8441.23
8x12,1996.69,3213.53
8x13,2007.97,3503.6
8x14,1995.24,3817.87
8x15,2003.34,4085.49
8x16,2002.19,4381.4
8x17,1991.77,4705.28
8x18,2004.79,4965.91
8x19,1994.66,5276.68
8x20,1993.22,5546.06
8x21,2006.24,5830.88
8x22,2015.5,6148.36
8x23,2004.79,6421.52
8x24,2014.34,6692.93
8x25,2012.6,6983.0
8x26,2001.61,7283.86
8x27,2014.92,7567.23
8x28,2000.45,7854.97
8x29,2016.65,8150.58
8x30,1998.13,8436.28
9x12,2330.92,3211.49
9x13,2311.82,3501.27
9x14,2318.47,3811.46
9x15,2306.61,4083.16
9x16,2317.03,4382.27
9x17,2317.03,4689.54
9x18,2307.77,4966.79
9x19,2308.34,5280.76
9x20,2307.77,5551.59
9x21,2304.29,5832.63
9x22,2313.55,6153.02
9x23,2332.36,6397.03
9x24,2324.84,6690.02
9x25,2326.29,6991.75
9x26,2329.76,7280.36
9x27,2316.16,7561.69
9x28,2343.65,7834.85
9x29,2324.26,8154.37
9x30,2310.95,8440.65
