,x,y
10x17,137.4131738478996,-2284.2713912848344
10x18,106.757462249196,-1991.2388433547844
10x19,83.48381926532295,-1699.3199663662292
10x20,58.47416295239115,-1424.5018045007716
10x21,32.12530900018087,-1117.0789029540501
10x22,21.22409745282987,-809.7873183201726
10x23,-2.453082319040871,-547.1197534057912
10x24,-29.83288391061553,-268.419812134169
10x25,-69.93366877479403,26.14175214955891
10x26,-96.31709466066971,310.19633957691366
10x27,-114.42366093223308,606.351939148918
10x28,-147.6112550455518,895.0825606579116
10x29,-153.3981427174812,1190.246586126925
10x30,-203.43764347417826,1481.908835593702
10x31,-211.33459685546836,1760.8233126781543
10x32,-218.25248241476828,2055.5993384322664
11x17,429.4920515644834,-2258.0633659524883
11x18,407.67964016247333,-1962.8175530967778
11x19,376.365188151645,-1672.169970799485
11x20,335.82365073567667,-1392.8416903767013
11x21,318.74331245885486,-1098.35455000492
11x22,305.4554083018855,-793.8971316306661
11x23,279.3081702417334,-526.1820611885526
11x25,239.85484712138899,52.9944599988665
11x26,203.1512894879427,341.9958222050821
11x27,176.53503632545284,632.1628552525843
11x28,161.93297376901072,914.5976037682335
11x29,136.4195931817095,1215.6686485583416
11x30,103.41852012960155,1515.8068688459439
11x31,84.1315636828886,1784.9831155896388
11x32,52.131080842935894,2080.2389471967554
12x18,742.0345590020548,-1899.9755142392032
12x19,706.8095598963465,-1614.6412850657612
12x20,691.9185566772941,-1332.2313013131848
12x22,633.6807299381421,-744.4374183604101
12x23,610.0315382400865,-465.11663103510483
12x24,600.2548588964559,-194.8342064473935
12x25,533.7860422071136,125.50982082316263
12x26,524.7680544095782,404.03715215006014
12x27,511.9557492147969,692.7576996273671
12x28,497.1422635957051,991.2430244656459
12x29,461.3046739927437,1280.3286444322048
12x30,426.3684783112793,1592.8568728073492
12x31,403.0083645142011,1845.033190457099
13x19,996.595947172614,-1595.6453736801757
13x22,919.0025996000337,-731.083366816307
13x23,899.3581381039943,-454.3400076682861
13x24,876.7127599288362,-162.95944594993117
13x25,843.9883137769858,123.76339221273552
13x26,824.9497216799824,417.20950329782704
13x27,795.2269089262317,716.4544098576644
13x28,771.1550083412424,1000.7071153896013
13x29,743.6571128368062,1287.5768151538446
13x30,724.9008775425633,1574.3325992935663
13x31,686.1738813134942,1863.1705716293964
14x19,1259.6346766414458,-1580.3972885734227
14x20,1238.0112928924077,-1283.9609848330715
14x21,1220.635411030959,-999.7265345468041
14x22,1202.6031390486141,-704.437756962632
14x23,1179.6565064484917,-426.5221068953584
14x25,1128.1576440991762,153.96054777808348
14x26,1093.2711151822243,438.74166038937705
14x27,1071.697260959332,734.6000828045067
14x28,1036.148612018981,1023.7104675341385
14x29,1030.351760875927,1318.8736390458046
14x30,1000.8437317339351,1591.8408979179185
14x31,976.8931483725489,1884.866008030771
15x20,1541.512532555217,-1265.254942409892
15x21,1511.0490719202273,-954.0897405216659
15x22,1492.9873155301864,-688.9034417502043
15x23,1452.3953946307251,-408.9873165310743
15x24,1443.8966681806535,-126.3305581672825
15x25,1413.4456585463836,171.10555617032355
15x27,1373.0207435455786,748.1513241533995
15x28,1349.1535449250225,1036.8075960928934
15x29,1302.301481908655,1325.240241767945
15x30,1290.3716730131678,1617.248159057387
15x31,1271.4363735370778,1902.8143062698157
16x22,1749.4983473713003,-658.7383038621189
16x24,1719.7139906419661,-107.35762928762813
16x25,1703.6209185570665,192.4733398114127
16x26,1666.0339916048135,474.68446206262047
16x28,1615.9607977079818,1062.304936393604
16x29,1600.7165230082244,1345.557831328286
16x30,1562.554938041491,1644.6615871268837
16x31,1540.4065630424857,1930.2434086507747
17x21,2066.475508586171,-919.6328246327961
17x26,1958.1327772014797,497.38136169566275
17x27,1921.738710487262,796.3555828385581
17x28,1895.9735859389766,1079.8710010383643
17x29,1865.1783952756125,1374.6480103725514
17x30,1849.123411974019,1663.9638214012361
17x31,1818.7343828666149,1947.092966863
18x22,2346.2531250233396,-593.5699384578497
18x25,2280.8887516685663,236.98213618644255
18x26,2246.4406059500097,520.044406114021
18x27,2221.861620541543,840.777065935702
18x28,2193.474644877963,1117.6443041793684
18x29,2181.482992693976,1396.7899559060218
18x30,2148.677668393056,1677.6645243480787
18x31,2122.555911814958,1972.2499250950852
19x23,2618.7719171804283,-322.1665900605943
19x25,2563.3030338011276,257.0925724708702
19x26,2545.099915069034,544.1868267993484
19x27,2507.2463246876473,839.8141851328398
19x29,2466.537325907221,1420.0573733895349
19x30,2437.771303741983,1721.7228277736733
19x31,2414.768557755865,1993.5012674577258
20x23,2925.7775233199927,-290.01216425514144
20x24,2891.0395829814784,-6.964695619511251
20x27,2810.4643535903488,865.220517972514
20x28,2793.1841702320835,1158.5262769734313
20x29,2768.3767092918238,1447.965113140414
20x30,2739.8312006408473,1730.0779750163967
20x31,2729.0281751262746,2032.7109268569586
21x24,3159.8488892082614,12.270737463101165
21x28,3058.3981501857174,1189.1462710484411
21x29,3028.725004196479,1460.6440618444276
21x30,3016.6703802899133,1781.2758803566765
21x31,2986.109008098878,2042.7612461609613
22x24,3443.629365858202,43.608854386942895
22x26,3399.6958508120197,613.9304402099648
22x28,3348.244011397089,1204.0523214521534
22x29,3329.684378811383,1471.5344902752051
